,"(Counties, if a District)",Population/Census 2014,Percent Pop AA,Percent Pop Hispanic,Obama Share by Vote (2012),Title,Name,First Year in office,Last Election Year,Percent Vote Last Election,Party Affiliation,Race,Gender,status of reelection,Republican candidates,Rep Race,Rep Gender ,Democratic candidates,Dem Race,Dem Gender,NP Candidate,NP Race,NP Gender,Category,Next Election,Past election result,,Special notes,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,,"filing deadline November 6th, 2015 for March 2016 primary",,,,"six year terms, last general election 2010",,,,,,,,,,,,,,,,,,,,,,,,Democrat Candidates: http://www.alabamavotes.gov/downloads/election/2016/primary/statecert-demparty-candidates_2015-12-18.pdf,,,,,,,,,,
,,allocation of counties to districts according to: http://www.alabamaprosecutor.com/DAList.aspx,,,,,,,,,,,,,,,,,,,,,,,,certified election results from November 2010,,,,,Republican candidates for 2016: http://www.alabamavotes.gov/downloads/election/2016/primary/statecert-repparty-candidates_2015-12-18_amended.pdf,,,,,,,,,
Louisa,,34348,16.7,2.5,42.3,Commonwealth Attorney,R.E. (Rusty) McGuire,,2015,U,R,C,M,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Lunenburg,,12466,34,4.2,46.8,Commonwealth Attorney,Robert Clement,,2015,U,NP,C,M,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Lynchburg City,,79047,28.5,3.3,,Commonwealth Attorney,Michael Robert Doucette,,2015,U,NP,C,M,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2013/year_to:2013/office_id:530/stage:General,,,,,,,,,,,,,,
Madison,,13157,9.5,2.1,39.9,Commonwealth Attorney,Clarissa Berry,,2015,63.1,NP,C,F,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Manassas City,,42081,15.1,33.7,,Commonwealth Attorney,Paul Ebert,,2015,61.4,D,C,M,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Manassas Park City,,15174,15,35.5,,Commonwealth Attorney,Paul Ebert,,2015,59.3,D,C,M,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Martinsville City,,13711,45.1,4.8,,Commonwealth Attorney,"Harry Clay Gravely, IV",,2013,52,NP,C,M,,,,,,,,,,,,2017,http://historical.elections.virginia.gov/elections/search/year_from:2013/year_to:2013/office_id:530/stage:General,,,,,,,,,,,,,,
Mathews,,8836,9.2,2.1,33.6,Commonwealth Attorney,Tom Bowen,,2015,U,NP,C,M,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Mecklenburg,,31192,34.9,2.7,45.9,Commonwealth Attorney,Nora Miller,,2015,U,NP,C,F,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Middlesex,,10696,17.7,2.2,39,Commonwealth Attorney,Michael Hurd,,2015,51.8,NP,C,M,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Montgomery,,97244,4.2,3,48.5,Commonwealth Attorney,Mary Pettitt,,2015,U,R,C,F,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Nelson,,14850,12.5,3.5,50.6,Commonwealth Attorney,Anthony Martin,,2015,U,D,C,M,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,http://www.dailyprogress.com/news/local/nelson-county-commonwealth-s-attorney-anthony-martin-resigning/article_ad3ecd34-c53d-11e5-9f17-ebebc2611be4.html,,,,,,,,,,,,
New Kent,,20021,13.7,2.6,32.5,Commonwealth Attorney,C. Linwood Gregory,,2015,U,NP,C,M,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Newport News City,,182965,41.1,8.5,,Commonwealth Attorney,Howard Gwynn,,2013,U,D,AA,M,,,,,,,,,,,,2017,http://historical.elections.virginia.gov/elections/search/year_from:2013/year_to:2013/office_id:530/stage:General,,,,,,,,,,,,,,
Norfolk City,,245428,42.7,7.5,,Commonwealth Attorney,Gregory Underwood,,2013,U,D,AA,M,,,,,,,,,,,,2017,http://historical.elections.virginia.gov/elections/search/year_from:2013/year_to:2013/office_id:530/stage:General,,,,,,,,,,,,,,
Northampton,,12121,35.2,8.5,57.6,Commonwealth Attorney,"Bruce Debrisay Jones, Jr.",,2015,59.7,NP,C,M,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Northumberland,,12251,24.8,3.6,42.2,Commonwealth Attorney,Jane Blackwell Wrightson,,2015,U,NP,C,F,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Norton City,,4031,6.6,3.3,,Commonwealth Attorney,"C.H.""Chuck"" Slemp III",,2015,52.3,R,C,M,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Nottoway,,15579,39.4,4,48.8,Commonwealth Attorney,Theresa Jarvis Royall,,2015,U,NP,C,M,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Orange,,35026,13.2,4.3,42,Commonwealth Attorney,Diana Wheeler,,2015,U,NP,C,F,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Page,,23848,2.2,1.9,36.4,Commonwealth Attorney,"Kenneth Alger, II",,2015,U,R,C,M,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Patrick,,18264,5.8,2.8,29.3,Commonwealth Attorney,Stephanie Vipperman,,2015,U,NP,C,F,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Petersburg City,,32701,77.6,4.4,,Commonwealth Attorney,Cassandra Conover,,2013,U,D,AA,F,,,,,,,,,,,,2017,http://historical.elections.virginia.gov/elections/search/year_from:2013/year_to:2013/office_id:530/stage:General,,,,,,,,,,,,,,
Pittsylvania,,62383,21.7,2.4,35.4,Commonwealth Attorney,R. Bryan Haskins,,2014,U,R,C,M,,,,,,,,,,,,2018,http://historical.elections.virginia.gov/elections/search/year_from:2014/year_to:2014/office_id:530,,,,,,,,,,,,,,
Poquoson City,,12048,1.2,2.3,,Commonwealth Attorney,Benjamin Hahn,,2015,U,R,C,M,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Portsmouth City,,96004,53.4,4,,Commonwealth Attorney,Stepanie Nicole Morales,,2015,U,I,H,F,,,,,,,,,,,,2017,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Powhatan,,28449,12.6,2,26.3,Commonwealth Attorney,Richard Cox,,2015,U,NP,C,M,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Prince Edward,,23074,32.6,2.5,55.5,Commonwealth Attorney,Megan Clark,,2015,U,D,C,F,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Prince George,,37333,32.2,7.6,43.6,Commonwealth Attorney,Susan O'Prandy Fierro,,2015,50.7,R,C,F,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Prince William,,446094,21.5,22,57.3,Commonwealth Attorney,Paul Ebert,,2015,52.7,D,C,M,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Pulaski,,34322,5.3,1.5,36,Commonwealth Attorney,K. Mike Fleenor Jr,,2015,U,D,C,M,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Radford City,,17646,9.1,3.2,,Commonwealth Attorney,Christian Rehak,,2013,U,D,C,M,,,,,,,,,,,,2017,http://historical.elections.virginia.gov/elections/search/year_from:2013/year_to:2013/office_id:530/stage:General,,,,,,,,,,,,,,
Rappahannock,,7361,4.6,3.4,45.4,Commonwealth Attorney,Arthur Goff,,2015,U,NP,C,M,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Richmond CIty,,217853,49.7,6.6,,Commonwealth Attorney,Michael Nehemiah Herring,,2013,U,D,AA,M,,,,,,,,,,,,2017,http://historical.elections.virginia.gov/elections/search/year_from:2013/year_to:2013/office_id:530/stage:General,,,,,,,,,,,,,,
Richmond,,8902,30,6.5,41.8,Commonwealth Attorney,Elizabeth Trible,,2015,80.2,NP,C,F,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Roanoke City,,99428,29,5.9,,Commonwealth Attorney,Donald Stevens  Caldwell,,2013,U,D,C,M,,,,,,,,,,,,2017,http://historical.elections.virginia.gov/elections/search/year_from:2013/year_to:2013/office_id:530/stage:General,,,,,,,,,,,,,,
Roanoke,,93785,5.8,2.7,36.5,Commonwealth Attorney,"Edwin ""Randy"" Leach",,2015,U,R,C,M,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Rockbridge,,22327,2.7,1.6,40.2,Commonwealth Attorney,Chris Billias,,2015,60,R,C,M,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Rockingham,,78171,2.1,6,28.9,Commonwealth Attorney,Marsha Garst,,2015,U,R,C,F,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Russell,,28023,1,1.1,30.8,Commonwealth Attorney,Brian Patton,,2015,U,D,C,M,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Salem City,,25483,7.3,3.2,,Commonwealth Attorney,Thomas Edward Bowers,,2013,U,D,C,M,,,,,,,,,,,,2017,http://historical.elections.virginia.gov/elections/search/year_from:2013/year_to:2013/office_id:530/stage:General,,,,,,,,,,,,,,
Scott,,22384,0.8,1.3,24,Commonwealth Attorney,Marcus McClung,,2015,70,R,C,M,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Shenandoah,,43021,2.4,6.8,33.4,Commonwealth Attorney,Amanda McDonald Wiseley,,2015,52.4,NP,C,F,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Smyth,,31555,2.4,1.8,32.6,Commonwealth Attorney,Roy Evans Jr,,2015,U,D,C,M,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Southampton,,18059,36.1,1.3,47.9,Commonwealth Attorney,Eric Cooke,,2015,U,D,C,M,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Spotsylvania,,129188,16.1,8.7,43.4,Commonwealth Attorney,Travis Bird,,2015,50.1,R,C,M,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Stafford,,139992,18,11.3,44.9,Commonwealth Attorney,Eric Olsen,,2015,64.3,R,C,M,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Staunton City,,24538,12,2.8,,Commonwealth Attorney,Raymond Clarence Robertson,,2013,U,D,C,M,,,,,,,,,,,,2017,http://historical.elections.virginia.gov/elections/search/year_from:2013/year_to:2013/office_id:530/stage:General,,,,,,,,,,,,,,
Suffolk City,,86806,42.9,3.7,,Commonwealth Attorney,Carl Phillips Ferguson,,2013,U,NP,C,M,,,,,,,,,,,,2017,http://historical.elections.virginia.gov/elections/search/year_from:2013/year_to:2013/office_id:530/stage:General,,,,,,,,,,,,,,
Surry,,6790,43.8,1.7,59.8,Commonwealth Attorney,Derek Davis,,2015,72,NP,C,M,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Sussex,,11767,57.5,2.8,61.7,Commonwealth Attorney,Lyndia Person Ramsey,,2015,U,NP,AA,M,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Tazewell,,43452,3.4,0.9,20.6,Commonwealth Attorney,Michael Lee Dennis,,2015,60.3,D,A,M,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Virginia Beach City,,450980,20,7.7,,Commonwealth Attorney,Carl Dwyer Stolle,,2013,62.6,R,C,M,,,,,,,,,,,,2017,http://historical.elections.virginia.gov/elections/search/year_from:2013/year_to:2013/office_id:530/stage:General,,,,,,,,,,,,,,
Warren,,38987,5.1,4.1,38.6,Commonwealth Attorney,Brian Madden,,2015,U,R,C,M,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Washington,,54729,1.5,1.4,27.6,Commonwealth Attorney,Joshua Cumbow,,2015,53.1,D,C,M,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Waynesboro City,,21366,11.7,7,,Commonwealth Attorney,David Lee Ledbetter,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://historical.elections.virginia.gov/elections/search/year_from:2014/year_to:2014/office_id:530,,,,,,,,,,,,,,
Westmoreland,,17477,27.4,6.1,52.9,Commonwealth Attorney,Julia Hutt Sichol,,2015,U,NP,C,F,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Williamsburg City,,14691,15,7.1,,Commonwealth Attorney,Nathan Green,,2015,U,R,C,M,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Winchester City,,27543,11.6,16.4,,Commonwealth Attorney,Mark Abrams,,2015,76.2,NP,C,M,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Wise,,39935,5.4,1.2,25,Commonwealth Attorney,"C.H.""Chuck"" Slemp III",,2015,58.2,R,C,M,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
Wythe,,29121,2.9,1.1,30.6,Commonwealth Attorney,Gerald Mabe II,,2015,U,R,C,M,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
York,,66342,13.4,5.8,38.8,Commonwealth Attorney,Benjamin Hahn,,2015,U,R,C,M,,,,,,,,,,,,2019,http://historical.elections.virginia.gov/elections/search/year_from:2015/year_to:2015/office_id:530,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.courts.wa.gov/court_dir/?fa=court_dir.judicialdistricts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,2014 election results: http://results.vote.wa.gov/results/20141104/Turnout.html,,,,,Prosecuting Attorney,,,4 year terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams,,19179,1.4,62,32.1,Prosecuting Attorney,Randy Flyckt,,2014,U,R,C,M,,,,,,,,,,,,2018,http://results.vote.wa.gov/results/20141104/adams/,,,,,,,,,,,,,,
Asotin,,22189,0.6,3.6,40.4,Prosecuting Attorney,Benjamin Nichols,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://results.vote.wa.gov/results/20141104/asotin/,,,,,,,,,,,,,,
Benton,,186486,1.6,20.4,35.4,Prosecuting Attorney,Andy Miller,,2014,U,D,C,M,,,,,,,,,,,,2018,http://results.vote.wa.gov/results/20141104/Turnout.html,,,,,,,,,,,,,,
Chelan,,74588,0.8,27.4,40.6,Prosecuting Attorney,Douglas Shae,,2014,U,R,C,M,,,,,,,,,,,,2018,http://results.vote.wa.gov/results/20141104/Turnout.html,,,,,,,,,,,,,,
Clallam,,72715,1,5.8,48.8,Prosecuting Attorney,Mark Nichols,,2014,52.3,R,C,M,,,,,,,,,,,,2018,http://results.vote.wa.gov/results/20141104/Turnout.html,,,,,,,,,,,,,,
Clark,,451008,2.2,8.7,48.9,Prosecuting Attorney,Tony Golik,,2014,54.4,D,C,M,,,,,,,,,,,,2018,http://results.vote.wa.gov/results/20141104/Turnout.html,,,,,,,,,,,,,,
Columbia,,3985,0.6,6.3,28.6,Prosecuting Attorney,Rea Culwell,,2014,57,NP,C,F,,,,,,,,,,,,2018,http://results.vote.wa.gov/results/20141104/columbia/,,,,,,,,,,,,,,
Cowlitz,,102133,0.9,8.4,50.9,Prosecuting Attorney,Ryan Jurvakainen,,2014,53.6,NP,C,M,,,,,,,,,,,,2018,http://results.vote.wa.gov/results/20141104/Turnout.html,,,,,,,,,,,,,,
Douglas,,39804,0.8,30.4,34.6,Prosecuting Attorney,Steve Clem,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://results.vote.wa.gov/results/20141104/Turnout.html,,,,,,,,,,,,,,
Ferry,,7667,0.7,4.2,37.6,Prosecuting Attorney,Emma Paulsen,,2014,74.3,R,C,F,suicide,,,,,,,,,,,2018,http://results.vote.wa.gov/results/20141104/Turnout.html,,,,,,,,,,,,,,
Franklin,,87809,2.8,51.9,37.1,Prosecuting Attorney,Shawn Sant,,2014,U,R,C,M,,,,,,,,,,,,2018,http://results.vote.wa.gov/results/20141104/Turnout.html,,,,,,,,,,,,,,
Garfield,,2215,0,4.5,26.3,Prosecuting Attorney,Matt Newburg,,2014,U,R,C,M,,,,,,,,,,,,2018,http://results.vote.wa.gov/results/20141104/garfield/,,,,,,,,,,,,,,
Grant,,93147,1.8,39.9,32.5,Prosecuting Attorney,Garth Dano,,2014,53.4,R,C,M,,,,,,,,,,,,2018,http://results.vote.wa.gov/results/20141104/grant/,,,,,,,,,,,,,,
Grays Harbor,,70818,1.4,9.8,55.6,Prosecuting Attorney,Katie Svoboda,,2014,52.7,D,C,F,,,,,,,,,,,,2018,http://results.vote.wa.gov/results/20141104/graysharbor/,,,,,,,,,,,,,,
Island,,79275,2.9,7.1,51,Prosecuting Attorney,Greg Banks,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://results.vote.wa.gov/results/20141104/island/,,,,,,,,,,,,,,
Jefferson,,30228,1,3.7,64.2,Prosecuting Attorney,Michael Haas,,2014,62.5,D,C,M,,,,,,,,,,,,2018,http://results.vote.wa.gov/results/20141104/jefferson/,,,,,,,,,,,,,,
King,,2079967,6.7,9.4,69.1,Prosecuting Attorney,Dan Satterburg,,2014,U,R,C,M,,,,,,,,,,,,2018,https://electionsdata.kingcounty.gov/2014/election-results-nov/one/King%20County%20Prosecuting%20Attorney,,,,,,,,,,,,,,
Kitsap,,254183,2.9,7.2,54.5,Prosecuting Attorney,Tina Robinson,,2014,50.5,R,C,F,,,,,,,,,,,,2018,http://results.vote.wa.gov/results/20141104/Turnout.html,,,,,,,,,,,,,,
Kittitas,,42522,1.2,8.8,43.7,Prosecuting Attorney,Greg Zempel,,2014,U,R,C,M,,,,,,,,,,,,2018,http://results.vote.wa.gov/results/20141104/Turnout.html,,,,,,,,,,,,,,
Klickitat,,20861,0.6,12.3,44.8,Prosecuting Attorney,David Quesnel,,2014,55.9,NP,C,M,,,,,,,,,,,,2018,http://results.vote.wa.gov/results/20141104/Turnout.html,,,,,,,,,,,,,,
Lewis,,75128,0.8,9.7,37.2,Prosecuting Attorney,Jonathan Meyer,,2014,U,R,C,M,,,,,,,,,,,,2018,http://results.vote.wa.gov/results/20141104/Turnout.html,,,,,,,,,,,,,,
Lincoln,,10250,0.4,3.1,28.5,Prosecuting Attorney,Jeff Barkdull,,2014,U,R,C,M,,,,,,,,,,,,2018,http://results.vote.wa.gov/results/20141104/Turnout.html,,,,,,,,,,,,,,
Mason,,60711,1.4,8.9,52.3,Prosecuting Attorney,Michael Dorcy,,2014,U,R,C,M,,,,,,,,,,,,2018,http://results.vote.wa.gov/results/20141104/mason/,,,,,,,,,,,,,,
Okanogan,,41290,0.8,19,42.2,Prosecuting Attorney,Karl Sloan,,2014,U,D,C,M,,,,,,,,,,,,2018,http://results.vote.wa.gov/results/20141104/Turnout.html,,,,,,,,,,,,,,
Pacific,,20561,1,9,54.3,Prosecuting Attorney,Mark McClain,,2014,59.1,NP,C,M,,,,,,,,,,,,2018,http://results.vote.wa.gov/results/20141104/Turnout.html,,,,,,,,,,,,,,
Pend Oreille,,12985,0.7,3.6,37.6,Prosecuting Attorney,Dolly Hunt,,2014,69.8,R,AA,F,,,,,,,,,,,,2018,http://results.vote.wa.gov/results/20141104/pendoreille/,,,,,,,,,,,,,,
Pierce,,831928,7.4,10.2,54.4,Prosecuting Attorney,Mark Lindquist,,2014,U,D,C,M,,,,,,,,,,,,2018,http://results.vote.wa.gov/results/20141104/Turnout.html,,,,,,,,,,,,,,
San Juan,,16015,0.6,5.9,67.3,Prosecuting Attorney,Randall Gaylord,,2014,U,D,C,M,,,,,,,,,,,,2018,http://results.vote.wa.gov/results/20141104/Turnout.html,,,,,,,,,,,,,,
Skagit,,120365,0.9,17.8,51.9,Prosecuting Attorney,Richard Weyrich,,2014,U,D,C,M,,,,,,,,,,,,2018,http://results.vote.wa.gov/results/20141104/Turnout.html,,,,,,,,,,,,,,
Skamania,,11340,0.7,6,48.1,Prosecuting Attorney,Adam Kick,,2014,U,D,C,M,,,,,,,,,,,,2018,http://results.vote.wa.gov/results/20141104/Turnout.html,,,,,,,,,,,,,,
Snohomish,,759583,3.1,9.7,57.2,Prosecuting Attorney,Mark Roe,,2014,U,D,C,M,,,,,,,,,,,,2018,http://results.vote.wa.gov/results/20141104/Turnout.html,,,,,,,,,,,,,,
Spokane,,484318,1.9,5.2,45.7,Prosecuting Attorney,Larry Haskell,,2014,59.7,R,C,M,,,,,,,,,,,,2018,http://results.vote.wa.gov/results/20141104/Turnout.html,,,,,,,,,,,,,,
Stevens,,43650,0.5,3.5,35,Prosecuting Attorney,Tim Rasmussen,,2014,U,R,C,M,,,,,,,,,,,,2018,http://results.vote.wa.gov/results/20141104/Turnout.html,,,,,,,,,,,,,,
Thurston,,265851,3.4,8.4,58.3,Prosecuting Attorney,Jon Tunheim,,2014,U,D,C,M,,,,,,,,,,,,2018,http://results.vote.wa.gov/results/20141104/Turnout.html,,,,,,,,,,,,,,
Wahklakum,,4067,0.4,3.4,47.7,Prosecuting Attorney,Dan Bigelow,,2014,50.9,D,C,M,,,,,,,,,,,,2018,http://results.vote.wa.gov/results/20141104/Turnout.html,,,,,,,,,,,,,,
Walla Walla,,59844,2.1,21.2,38.9,Prosecuting Attorney,James Nagle,,2014,U,R,C,M,,,,,,,,,,,,2018,http://results.vote.wa.gov/results/20141104/Turnout.html,,,,,,,,,,,,,,
Whatcom,,208351,1.2,8.9,55.4,Prosecuting Attorney,Dave McEachran,,2014,U,R,C,M,,,,,,,,,,,,2018,http://results.vote.wa.gov/results/20141104/Turnout.html,,,,,,,,,,,,,,
Whitman,,46827,2.3,5.6,46.9,Prosecuting Attorney,Denis Tracy,,2014,U,R,C,M,,,,,,,,,,,,2018,http://results.vote.wa.gov/results/20141104/Turnout.html,,,,,,,,,,,,,,
Yakima,,247687,1.5,47.7,43.1,Prosecuting Attorney,Joseph Brusic,,2014,,R,C,M,,,,,,,,,,,,2018,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,roster of prosecutors: http://www.pai.wv.gov/Pages/Prosecutors.aspx,,,"filing deadline January 30, 2016",,,"WV has a precandidacy period in Dec, followed by another filing required by Jan 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbour,,16766,1,0.8,30.69,Prosecuting Attorney,Lecta Poling,,2012,U,D,C,F,,Thomas Hoxie,C,M,Jodie Boylen,C,F,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Barbour,,http://wvpress.org/news/barbour-county-prosecutor-investigation/,,,,,,,,,,,,
Berkeley,,110497,7.5,3.9,38.4,Prosecuting Attorney,Pamela Games - Neely,,2012,U,R,C,F,,Catie Wilkes Delligatti,C,F,,,,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Berkeley,,,,,,,,,,,,,,
Boone,,23714,6,0.5,32.82,Prosecuting Attorney,Keith Randolph,,2012,U,D,C,M,,,,,,,,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Boone,,,,,,,,,,,,,,
Braxton,,14463,0.6,0.7,41.59,Prosecuting Attorney,Kelly Hamon McLaughlin,,2012,U,D,C,F,,,,,,,,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Braxton,,,,,,,,,,,,,,
Brooke,,23530,1.6,0.8,43.09,Prosecuting Attorney,Joe Barki,,2012,U,D,C,M,,,,,,,,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Brooke,,,,,,,,,,,,,,
Cabell,,97109,5.1,1.4,42.21,Prosecuting Attorney,Sean K. Hammers,2014,appt,,D,C,M,running,,,,,,,,,,N,2016,,,,,,,,,,,,,,,
Calhoun,,7513,0.3,1.1,37.06,Prosecuting Attorney,Shannon Jones Johnson,,2012,U,D,C,F,running,,,,,,,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Calhoun&type=Official,,,,,,,,,,,,,,
Clay,,8941,0.2,0.5,30.91,Prosecuting Attorney,Jim E. Samples,,2012,U,D,C,M,running,,,,,,,,,,N,2016,http://apps.sos.wv.gov/elections/results/results.aspx?year=2012&eid=13&county=Clay&type=Official,,,,,,,,,,,,,,
